label	xPos	yPos	vote	north	
432	54.4665	-69.4189	-1.64631	0.269337	
433	54.4665	-69.4189	1.29966	0.269337	
434	54.4665	-69.4189	1.04387	0.269337	
435	54.4665	-69.4189	0.389291	0.269337	
436	54.4665	-69.4189	-1.51981	0.269337	
437	54.4665	-69.4189	1.3446	0.269337	
438	54.4665	-69.4189	2.53054	0.269337	
439	54.4665	-69.4189	-2.00467	0.269337	
440	54.4665	-69.4189	-2.01456	0.269337	
441	54.4665	-69.4189	1.1987	0.269337	
442	51.6439	-69.3196	-2.10494	0.260964	
443	51.6439	-69.3196	-1.97547	0.260964	
444	51.6439	-69.3196	0.893124	0.260964	
445	51.6439	-69.3196	-1.88689	0.260964	
446	51.6439	-69.3196	-0.694734	0.260964	
447	51.6439	-69.3196	1.07515	0.260964	
448	51.6439	-69.3196	0.903314	0.260964	
449	51.6439	-69.3196	1.36468	0.260964	
450	51.6439	-69.3196	-0.622577	0.260964	
451	51.6439	-69.3196	-1.24029	0.260964	
452	51.6439	-69.3196	-0.297881	0.260964	
453	51.6439	-69.3196	-1.28622	0.260964	
454	51.6439	-69.3196	-1.25244	0.260964	
455	51.6439	-69.3196	-1.27773	0.260964	
456	51.6439	-69.3196	0.662938	0.260964	
457	51.6439	-69.3196	-2.08922	0.260964	
458	51.6439	-69.3196	-1.84831	0.260964	
459	51.6439	-69.3196	-1.85624	0.260964	
460	51.6439	-69.3196	1.29751	0.260964	
461	51.6439	-69.3196	1.30235	0.260964	
462	51.6439	-69.3196	0.818503	0.260964	
463	51.6439	-69.3196	-0.560238	0.260964	
464	51.6439	-69.3196	1.31605	0.260964	
465	51.6439	-69.3196	1.36963	0.260964	
466	51.6439	-69.3196	-1.82178	0.260964	
467	51.6439	-69.3196	-2.0295	0.260964	
468	51.6439	-69.3196	2.61621	0.260964	
469	51.6439	-69.3196	2.65417	0.260964	
470	51.6439	-69.3196	-1.54767	0.260964	
471	51.6439	-69.3196	1.19267	0.260964	
472	48.7639	-69.3196	-2.03977	0.234816	
473	48.7639	-69.3196	0.374642	0.234816	
474	48.7639	-69.3196	-1.48984	0.234816	
475	48.7639	-69.3196	-1.94652	0.234816	
476	48.7639	-69.3196	-0.334188	0.234816	
477	48.7639	-69.3196	0.774814	0.234816	
478	48.7639	-69.3196	-0.561117	0.234816	
479	48.7639	-69.3196	-0.581588	0.234816	
480	48.7639	-69.3196	1.27993	0.234816	
481	48.7639	-69.3196	-1.87115	0.234816	
482	48.7639	-69.3196	-1.86661	0.234816	
483	48.7639	-69.3196	1.40758	0.234816	
484	48.7639	-69.3196	-1.8789	0.234816	
485	48.7639	-69.3196	-1.63348	0.234816	
486	48.7639	-69.3196	-1.09757	0.234816	
487	48.7639	-69.3196	-1.83695	0.234816	
488	48.7639	-69.3196	0.983947	0.234816	
489	48.7639	-69.3196	0.642868	0.234816	
490	48.7639	-69.3196	1.3434	0.234816	
491	48.7639	-69.3196	-1.47533	0.234816	
492	48.7639	-69.3196	1.42622	0.234816	
493	48.7639	-69.3196	-1.39113	0.234816	
494	48.7639	-69.3196	1.3812	0.234816	
495	48.7639	-69.3196	-1.47555	0.234816	
496	48.7639	-69.3196	1.58155	0.234816	
497	48.7639	-69.3196	-2.0344	0.234816	
498	48.7639	-69.3196	-1.82901	0.234816	
499	48.7639	-69.3196	-1.02465	0.234816	
500	48.7639	-69.3196	1.03925	0.234816	
501	48.7639	-69.3196	1.57802	0.234816	
502	45.9739	-69.3196	-0.343357	0.269324	
503	45.9739	-69.3196	-1.97558	0.269324	
504	45.9739	-69.3196	-1.89396	0.269324	
505	45.9739	-69.3196	-1.63714	0.269324	
506	45.9739	-69.3196	0.573251	0.269324	
507	45.9739	-69.3196	0.861479	0.269324	
508	45.9739	-69.3196	1.39503	0.269324	
509	45.9739	-69.3196	-0.0604141	0.269324	
510	45.9739	-69.3196	-1.87865	0.269324	
511	45.9739	-69.3196	-1.41682	0.269324	
512	45.9739	-69.3196	1.3859	0.269324	
513	45.9739	-69.3196	-1.91188	0.269324	
514	45.9739	-69.3196	0.157232	0.269324	
515	45.9739	-69.3196	-1.57512	0.269324	
516	45.9739	-69.3196	-1.59437	0.269324	
517	45.9739	-69.3196	-1.94404	0.269324	
518	45.9739	-69.3196	-1.26959	0.269324	
519	45.9739	-69.3196	1.30153	0.269324	
520	45.9739	-69.3196	-0.514529	0.269324	
